time,open,high,low,close,Average True Range,Tick value,Tick size,GBPUSD FX
2008-12-29,96.35,96.35,96.285,96.295,0.201,6.25,0.005,1.4392
2008-12-30,96.285,96.325,96.275,96.31,0.1985,6.25,0.005,1.4409
2008-12-31,96.33,96.33,96.275,96.32,0.1905,6.25,0.005,1.4593
2009-01-02,96.34,96.395,96.33,96.365,0.18475,6.25,0.005,1.4548
2009-01-05,96.365,96.375,96.315,96.35,0.182,6.25,0.005,1.47
2009-01-06,96.335,96.37,96.335,96.35,0.16425,6.25,0.005,1.4917
2009-01-07,96.35,96.41,96.35,96.4,0.16075,6.25,0.005,1.5095
2009-01-08,96.39,96.52,96.365,96.495,0.16125,6.25,0.005,1.5216
2009-01-09,96.485,96.6,96.47,96.575,0.162,6.25,0.005,1.5164
2009-01-12,96.595,96.695,96.58,96.685,0.16025,6.25,0.005,1.4822
2009-01-13,96.675,96.715,96.635,96.645,0.161,6.25,0.005,1.4501
2009-01-14,96.65,96.66,96.56,96.59,0.1615,6.25,0.005,1.4612
2009-01-15,96.575,96.575,96.485,96.5,0.16225,6.25,0.005,1.4632
2009-01-16,96.435,96.525,96.425,96.505,0.16175,6.25,0.005,1.4733
2009-01-19,96.53,96.585,96.53,96.585,0.1475,6.25,0.005,1.442
2009-01-20,96.615,96.705,96.6,96.67,0.14575,6.25,0.005,1.3928
2009-01-21,96.73,96.79,96.605,96.64,0.09425,6.25,0.005,1.3955
2009-01-22,96.625,96.68,96.575,96.605,0.093,6.25,0.005,1.3877
2009-01-23,96.625,96.645,96.57,96.58,0.0895,6.25,0.005,1.3804
2009-01-26,96.585,96.635,96.555,96.59,0.09175,6.25,0.005,1.3993
2009-01-27,96.58,96.59,96.49,96.51,0.0935,6.25,0.005,1.4129
2009-01-28,96.515,96.55,96.47,96.535,0.095,6.25,0.005,1.4247
2009-01-29,96.51,96.535,96.48,96.525,0.095,6.25,0.005,1.4301
2009-01-30,96.5,96.54,96.465,96.47,0.095,6.25,0.005,1.454
2009-02-02,96.48,96.485,96.405,96.415,0.096,6.25,0.005,1.4264
2009-02-03,96.42,96.445,96.41,96.44,0.096,6.25,0.005,1.4458
2009-02-04,96.435,96.445,96.345,96.41,0.098,6.25,0.005,1.4468
2009-02-05,96.395,96.415,96.29,96.32,0.0965,6.25,0.005,1.461
2009-02-06,96.295,96.335,96.255,96.27,0.094,6.25,0.005,1.4787
2009-02-09,96.28,96.335,96.275,96.325,0.09125,6.25,0.005,1.4898
2009-02-10,96.315,96.355,96.275,96.32,0.09125,6.25,0.005,1.4542
2009-02-11,96.305,96.445,96.295,96.385,0.09375,6.25,0.005,1.4397
2009-02-12,96.41,96.415,96.365,96.38,0.091,6.25,0.005,1.4269
2009-02-13,96.375,96.425,96.36,96.4,0.08925,6.25,0.005,1.4355
2009-02-16,96.385,96.415,96.365,96.385,0.08775,6.25,0.005,1.4298
2009-02-17,96.4,96.42,96.24,96.255,0.09075,6.25,0.005,1.4238
2009-02-18,96.245,96.265,96.135,96.17,0.088,6.25,0.005,1.4211
2009-02-19,96.165,96.225,96.11,96.215,0.0885,6.25,0.005,1.4294
2009-02-20,96.19,96.21,96.15,96.165,0.088,6.25,0.005,1.4433
2009-02-23,96.155,96.185,96.105,96.145,0.088,6.25,0.005,1.4487
2009-02-24,96.175,96.215,96.135,96.155,0.087,6.25,0.005,1.4481
2009-02-25,96.205,96.255,96.185,96.215,0.088,6.25,0.005,1.4201
2009-02-26,96.185,96.285,96.185,96.215,0.09025,6.25,0.005,1.4317
2009-02-27,96.225,96.265,96.215,96.245,0.089,6.25,0.005,1.4318
2009-03-02,96.245,96.295,96.205,96.275,0.0895,6.25,0.005,1.4055
2009-03-03,96.265,96.295,96.195,96.275,0.09275,6.25,0.005,1.405
2009-03-04,96.275,96.305,96.245,96.295,0.09075,6.25,0.005,1.4194
2009-03-05,96.285,96.355,95.945,96.235,0.105,6.25,0.005,1.4118
2009-03-06,96.165,96.205,96.065,96.155,0.1095,6.25,0.005,1.4094
2009-03-09,96.115,96.155,96.095,96.145,0.10925,6.25,0.005,1.3776
2009-03-10,96.145,96.355,96.105,96.285,0.11775,6.25,0.005,1.3753
2009-03-11,96.275,96.375,96.255,96.315,0.11625,6.25,0.005,1.3874
2009-03-12,96.365,96.395,96.225,96.255,0.12225,6.25,0.005,1.3939
2009-03-13,96.215,96.275,96.195,96.235,0.123,6.25,0.005,1.4002
2009-03-16,96.235,96.255,96.165,96.235,0.125,6.25,0.005,1.4064
2009-03-17,96.215,96.315,96.195,96.295,0.122,6.25,0.005,1.4037
2009-03-18,96.275,96.405,96.275,96.385,0.122,6.25,0.005,1.4275
2009-03-19,96.475,96.525,96.435,96.465,0.12325,6.25,0.005,1.4506
2009-03-20,96.465,96.535,96.465,96.505,0.1235,6.25,0.005,1.4465
2009-03-23,96.545,96.555,96.435,96.465,0.1255,6.25,0.005,1.4572
2009-03-24,96.425,96.465,96.365,96.425,0.1265,6.25,0.005,1.4681
2009-03-25,96.415,96.465,96.385,96.455,0.1255,6.25,0.005,1.4552
2009-03-26,96.435,96.465,96.415,96.435,0.123,6.25,0.005,1.4453
2009-03-27,96.455,96.505,96.425,96.485,0.1245,6.25,0.005,1.432
2009-03-30,96.495,96.535,96.485,96.515,0.1225,6.25,0.005,1.4266
2009-03-31,96.525,96.615,96.515,96.595,0.1225,6.25,0.005,1.4323
2009-04-01,96.625,96.655,96.605,96.635,0.1225,6.25,0.005,1.4468
2009-04-02,96.615,96.665,96.515,96.535,0.1095,6.25,0.005,1.4725
2009-04-03,96.525,96.565,96.445,96.485,0.107,6.25,0.005,1.4836
2009-04-06,96.475,96.555,96.415,96.535,0.111,6.25,0.005,1.477
2009-04-07,96.545,96.605,96.505,96.595,0.1035,6.25,0.005,1.4731
2009-04-08,96.585,96.615,96.575,96.595,0.0995,6.25,0.005,1.4716
2009-04-09,96.605,96.655,96.585,96.625,0.0945,6.25,0.005,1.468
2009-04-14,96.655,96.715,96.625,96.645,0.095,6.25,0.005,1.4895
2009-04-15,96.635,96.665,96.575,96.625,0.095,6.25,0.005,1.4997
2009-04-16,96.615,96.635,96.585,96.625,0.0915,6.25,0.005,1.4925
2009-04-17,96.605,96.625,96.525,96.545,0.09,6.25,0.005,1.4797
2009-04-20,96.535,96.605,96.505,96.595,0.088,6.25,0.005,1.4539
2009-04-21,96.595,96.615,96.525,96.555,0.089,6.25,0.005,1.4673
2009-04-22,96.525,96.565,96.505,96.545,0.086,6.25,0.005,1.4492
2009-04-23,96.565,96.605,96.535,96.585,0.0845,6.25,0.005,1.4722
2009-04-24,96.615,96.655,96.565,96.635,0.085,6.25,0.005,1.4678
2009-04-27,96.665,96.715,96.635,96.655,0.0865,6.25,0.005,1.4645
2009-04-28,96.665,96.675,96.595,96.615,0.0865,6.25,0.005,1.4633
2009-04-29,96.595,96.635,96.575,96.635,0.087,6.25,0.005,1.4772
2009-04-30,96.625,96.695,96.585,96.655,0.0875,6.25,0.005,1.479
2009-05-01,96.685,96.715,96.605,96.625,0.09,6.25,0.005,1.4921
2009-05-04,96.625,96.625,96.625,96.625,0.0825,6.25,0.005,1.5018
2009-05-05,96.625,96.645,96.605,96.625,0.0785,6.25,0.005,1.509
2009-05-06,96.635,96.675,96.625,96.655,0.074,6.25,0.005,1.5136
2009-05-07,96.665,96.705,96.615,96.695,0.0735,6.25,0.005,1.5018
2009-05-08,96.695,96.745,96.665,96.725,0.0755,6.25,0.005,1.5234
2009-05-11,96.715,96.745,96.655,96.695,0.0765,6.25,0.005,1.5117
2009-05-12,96.655,96.725,96.645,96.705,0.076,6.25,0.005,1.5271
2009-05-13,96.675,96.865,96.675,96.795,0.081,6.25,0.005,1.5157
2009-05-14,96.805,96.855,96.805,96.845,0.0815,6.25,0.005,1.5238
2009-05-15,96.835,96.895,96.835,96.875,0.0795,6.25,0.005,1.518
2009-05-18,96.885,96.925,96.885,96.905,0.077,6.25,0.005,1.5348
2009-05-19,96.895,96.965,96.875,96.945,0.077,6.25,0.005,1.5477
2009-05-20,96.955,96.995,96.935,96.965,0.077,6.25,0.005,1.5755
2009-05-21,96.965,97.055,96.915,96.935,0.0805,6.25,0.005,1.5844
2009-05-22,96.915,96.995,96.885,96.915,0.0815,6.25,0.005,1.5934
2009-05-25,96.915,96.915,96.915,96.915,0.0775,6.25,0.005,1.5908
2009-05-26,96.905,96.965,96.875,96.895,0.078,6.25,0.005,1.5926
2009-05-27,96.875,96.915,96.825,96.885,0.0795,6.25,0.005,1.5955
2009-05-28,96.875,96.945,96.865,96.915,0.078,6.25,0.005,1.5945
2009-05-29,96.905,96.945,96.885,96.915,0.0755,6.25,0.005,1.619
2009-06-01,96.925,96.935,96.855,96.885,0.0795,6.25,0.005,1.6443
2009-06-02,96.875,96.935,96.875,96.915,0.0805,6.25,0.005,1.658
2009-06-03,96.915,96.925,96.865,96.885,0.081,6.25,0.005,1.6317
2009-06-04,96.885,96.885,96.795,96.815,0.081,6.25,0.005,1.6175
2009-06-05,96.795,96.795,96.625,96.705,0.0865,6.25,0.005,1.5981
2009-06-08,96.645,96.745,96.625,96.675,0.088,6.25,0.005,1.6051
2009-06-09,96.665,96.775,96.655,96.735,0.09,6.25,0.005,1.6305
2009-06-10,96.725,96.795,96.705,96.775,0.085,6.25,0.005,1.6359
2009-06-11,96.755,96.795,96.735,96.775,0.085,6.25,0.005,1.6591
2009-06-12,96.765,96.805,96.765,96.785,0.084,6.25,0.005,1.6443
2009-06-15,96.795,96.815,96.765,96.785,0.084,6.25,0.005,1.632
2009-06-16,96.775,96.795,96.745,96.785,0.082,6.25,0.005,1.6411
2009-06-17,96.785,96.815,96.765,96.775,0.0815,6.25,0.005,1.6401
2009-06-18,96.755,96.785,96.705,96.765,0.0785,6.25,0.005,1.6332
2009-06-19,96.725,96.775,96.715,96.755,0.076,6.25,0.005,1.6494
2009-06-22,96.755,96.795,96.745,96.785,0.0785,6.25,0.005,1.6348
2009-06-23,96.775,96.815,96.775,96.815,0.076,6.25,0.005,1.6455
2009-06-24,96.815,96.865,96.805,96.855,0.0745,6.25,0.005,1.6407
2009-06-25,96.855,96.905,96.845,96.895,0.0735,6.25,0.005,1.6368
2009-06-26,96.905,96.915,96.885,96.895,0.072,6.25,0.005,1.6525
2009-06-29,96.895,96.905,96.865,96.875,0.07,6.25,0.005,1.6567
2009-06-30,96.865,96.885,96.855,96.885,0.0685,6.25,0.005,1.6458
2009-07-01,96.885,96.925,96.865,96.905,0.0685,6.25,0.005,1.6478
2009-07-02,96.915,96.985,96.905,96.975,0.068,6.25,0.005,1.6394
2009-07-03,96.985,96.995,96.955,96.965,0.0605,6.25,0.005,1.6333
2009-07-06,96.975,97.005,96.975,96.985,0.0565,6.25,0.005,1.6286
2009-07-07,96.995,97.025,96.985,97.005,0.0525,6.25,0.005,1.6139
2009-07-08,97.015,97.055,97.005,97.045,0.0505,6.25,0.005,1.6072
2009-07-09,97.055,97.075,97.005,97.025,0.051,6.25,0.005,1.6335
2009-07-10,97.035,97.075,97.035,97.065,0.0515,6.25,0.005,1.6211
2009-07-13,97.065,97.095,97.015,97.055,0.053,6.25,0.005,1.6227
2009-07-14,97.035,97.075,97.015,97.065,0.0535,6.25,0.005,1.6309
2009-07-15,97.045,97.085,97.045,97.065,0.053,6.25,0.005,1.6424
2009-07-16,97.075,97.105,97.065,97.095,0.051,6.25,0.005,1.6438
2009-07-17,97.085,97.145,97.075,97.115,0.0515,6.25,0.005,1.6336
2009-07-20,97.125,97.145,97.125,97.135,0.0505,6.25,0.005,1.6548
2009-07-21,97.145,97.145,97.115,97.135,0.05,6.25,0.005,1.6459
2009-07-22,97.145,97.145,97.115,97.125,0.0485,6.25,0.005,1.6493
2009-07-23,97.115,97.135,97.075,97.115,0.0485,6.25,0.005,1.6479
2009-07-24,97.115,97.145,97.095,97.135,0.0495,6.25,0.005,1.6426
2009-07-27,97.145,97.145,97.115,97.135,0.049,6.25,0.005,1.6488
2009-07-28,97.125,97.175,97.115,97.145,0.0505,6.25,0.005,1.6429
2009-07-29,97.145,97.195,97.145,97.175,0.05,6.25,0.005,1.6379
2009-07-30,97.165,97.205,97.165,97.195,0.048,6.25,0.005,1.6493
2009-07-31,97.205,97.225,97.185,97.195,0.048,6.25,0.005,1.6713
2009-08-03,97.205,97.255,97.135,97.195,0.052,6.25,0.005,1.6928
2009-08-04,97.185,97.205,97.145,97.165,0.053,6.25,0.005,1.6939
2009-08-05,97.155,97.185,97.135,97.155,0.053,6.25,0.005,1.6989
2009-08-06,97.145,97.255,97.145,97.215,0.055,6.25,0.005,1.6783
2009-08-07,97.215,97.235,97.165,97.205,0.056,6.25,0.005,1.6684
2009-08-10,97.225,97.275,97.205,97.235,0.0555,6.25,0.005,1.6481
2009-08-11,97.235,97.255,97.235,97.245,0.0535,6.25,0.005,1.6478
2009-08-12,97.255,97.315,97.215,97.305,0.0565,6.25,0.005,1.6482
2009-08-13,97.315,97.375,97.305,97.355,0.058,6.25,0.005,1.6583
2009-08-14,97.355,97.395,97.345,97.375,0.057,6.25,0.005,1.6543
2009-08-17,97.365,97.385,97.325,97.325,0.0585,6.25,0.005,1.6348
2009-08-18,97.335,97.355,97.295,97.325,0.06,6.25,0.005,1.6561
2009-08-19,97.335,97.395,97.335,97.365,0.062,6.25,0.005,1.6529
2009-08-20,97.355,97.405,97.345,97.395,0.062,6.25,0.005,1.6507
2009-08-21,97.395,97.415,97.365,97.395,0.062,6.25,0.005,1.6508
2009-08-24,97.395,97.415,97.395,97.405,0.0615,6.25,0.005,1.6417
2009-08-25,97.405,97.415,97.385,97.405,0.06,6.25,0.005,1.6349
2009-08-26,97.395,97.465,97.385,97.415,0.0615,6.25,0.005,1.6249
2009-08-27,97.415,97.425,97.405,97.415,0.0605,6.25,0.005,1.6284
2009-08-28,97.415,97.425,97.385,97.405,0.0605,6.25,0.005,1.627
2009-08-31,97.405,97.405,97.405,97.405,0.0545,6.25,0.005,1.6288
2009-09-01,97.405,97.425,97.315,97.365,0.057,6.25,0.005,1.616
2009-09-02,97.365,97.405,97.345,97.355,0.0575,6.25,0.005,1.6273
2009-09-03,97.345,97.405,97.335,97.395,0.0555,6.25,0.005,1.6319
2009-09-04,97.395,97.435,97.375,97.415,0.055,6.25,0.005,1.6392
2009-09-07,97.405,97.465,97.395,97.445,0.055,6.25,0.005,1.6349
2009-09-08,97.465,97.505,97.435,97.485,0.0575,6.25,0.005,1.649
2009-09-09,97.475,97.495,97.435,97.445,0.0555,6.25,0.005,1.6548
2009-09-10,97.445,97.535,97.435,97.515,0.057,6.25,0.005,1.6651
2009-09-11,97.535,97.575,97.505,97.525,0.058,6.25,0.005,1.6657
2009-09-14,97.555,97.565,97.505,97.515,0.058,6.25,0.005,1.6583
2009-09-15,97.505,97.645,97.445,97.615,0.065,6.25,0.005,1.6489
2009-09-16,97.635,97.685,97.565,97.625,0.0675,6.25,0.005,1.6493
2009-09-17,97.605,97.645,97.565,97.595,0.0685,6.25,0.005,1.6453
2009-09-18,97.635,97.645,97.615,97.635,0.0685,6.25,0.005,1.6271
2009-09-21,97.625,97.665,97.615,97.625,0.07,6.25,0.005,1.6217
2009-09-22,97.605,97.645,97.605,97.635,0.0705,6.25,0.005,1.6359
2009-09-23,97.635,97.655,97.585,97.635,0.07,6.25,0.005,1.6341
2009-09-24,97.655,97.685,97.645,97.665,0.0715,6.25,0.005,1.6059
2009-09-25,97.655,97.675,97.645,97.665,0.071,6.25,0.005,1.5951
2009-09-28,97.655,97.705,97.655,97.685,0.0735,6.25,0.005,1.5882
2009-09-29,97.685,97.695,97.535,97.565,0.076,6.25,0.005,1.5961
2009-09-30,97.565,97.655,97.515,97.615,0.08,6.25,0.005,1.5982
2009-10-01,97.625,97.685,97.605,97.665,0.0805,6.25,0.005,1.5955
2009-10-02,97.675,97.695,97.635,97.655,0.0805,6.25,0.005,1.5946
2009-10-05,97.665,97.685,97.625,97.665,0.08,6.25,0.005,1.5935
2009-10-06,97.645,97.665,97.615,97.645,0.079,6.25,0.005,1.5922
2009-10-07,97.645,97.655,97.615,97.635,0.078,6.25,0.005,1.5969
2009-10-08,97.615,97.665,97.605,97.655,0.076,6.25,0.005,1.6072
2009-10-09,97.635,97.645,97.565,97.585,0.077,6.25,0.005,1.5844
2009-10-12,97.585,97.635,97.585,97.625,0.0765,6.25,0.005,1.5799
2009-10-13,97.615,97.665,97.595,97.645,0.07,6.25,0.005,1.5925
2009-10-14,97.625,97.645,97.615,97.635,0.0655,6.25,0.005,1.598
2009-10-15,97.625,97.635,97.605,97.625,0.063,6.25,0.005,1.6268
2009-10-16,97.605,97.635,97.575,97.615,0.0635,6.25,0.005,1.6356
2009-10-19,97.625,97.625,97.585,97.595,0.063,6.25,0.005,1.6421
2009-10-20,97.605,97.635,97.595,97.615,0.063,6.25,0.005,1.6382
2009-10-21,97.615,97.635,97.495,97.525,0.0665,6.25,0.005,1.6608
2009-10-22,97.515,97.595,97.485,97.555,0.0695,6.25,0.005,1.6624
2009-10-23,97.565,97.645,97.515,97.625,0.0745,6.25,0.005,1.6306
2009-10-26,97.625,97.665,97.605,97.655,0.075,6.25,0.005,1.6336
2009-10-27,97.645,97.705,97.635,97.695,0.0705,6.25,0.005,1.6367
2009-10-28,97.685,97.705,97.675,97.685,0.065,6.25,0.005,1.6373
2009-10-29,97.685,97.695,97.615,97.635,0.065,6.25,0.005,1.6548
2009-10-30,97.635,97.655,97.615,97.645,0.064,6.25,0.005,1.6453
2009-11-02,97.645,97.655,97.615,97.635,0.063,6.25,0.005,1.6408
2009-11-03,97.645,97.665,97.605,97.615,0.0635,6.25,0.005,1.6436
2009-11-04,97.615,97.635,97.575,97.595,0.0645,6.25,0.005,1.6554
2009-11-05,97.605,97.655,97.545,97.605,0.067,6.25,0.005,1.6583
2009-11-06,97.615,97.675,97.595,97.665,0.0665,6.25,0.005,1.6612
2009-11-09,97.655,97.695,97.645,97.675,0.0665,6.25,0.005,1.6759
2009-11-10,97.675,97.695,97.665,97.685,0.0645,6.25,0.005,1.6744
2009-11-11,97.675,97.755,97.655,97.725,0.068,6.25,0.005,1.6574
2009-11-12,97.735,97.745,97.685,97.695,0.0695,6.25,0.005,1.6577
2009-11-13,97.695,97.705,97.685,97.695,0.0675,6.25,0.005,1.6676
2009-11-16,97.685,97.705,97.685,97.695,0.0665,6.25,0.005,1.6818
2009-11-17,97.695,97.715,97.685,97.715,0.066,6.25,0.005,1.6812
2009-11-18,97.715,97.835,97.695,97.785,0.066,6.25,0.005,1.6749
2009-11-19,97.795,97.805,97.765,97.795,0.0625,6.25,0.005,1.6667
2009-11-20,97.785,97.815,97.785,97.805,0.0575,6.25,0.005,1.6503
2009-11-23,97.795,97.805,97.765,97.775,0.0565,6.25,0.005,1.6605
2009-11-24,97.775,97.785,97.705,97.725,0.057,6.25,0.005,1.6587
2009-11-25,97.715,97.745,97.695,97.715,0.058,6.25,0.005,1.6705
2009-11-26,97.725,97.765,97.705,97.755,0.057,6.25,0.005,1.6532
2009-11-27,97.745,97.755,97.655,97.695,0.06,6.25,0.005,1.6501
2009-11-30,97.685,97.725,97.685,97.725,0.06,6.25,0.005,1.644
2009-12-01,97.715,97.745,97.715,97.735,0.0585,6.25,0.005,1.6611
2009-12-02,97.725,97.745,97.715,97.725,0.057,6.25,0.005,1.6629
2009-12-03,97.715,97.745,97.685,97.735,0.0545,6.25,0.005,1.654
2009-12-04,97.735,97.735,97.665,97.685,0.054,6.25,0.005,1.6474
2009-12-07,97.665,97.705,97.635,97.695,0.055,6.25,0.005,1.6447
2009-12-08,97.705,97.745,97.695,97.705,0.056,6.25,0.005,1.6287
2009-12-09,97.695,97.715,97.685,97.705,0.0525,6.25,0.005,1.6261
2009-12-10,97.705,97.755,97.695,97.715,0.0525,6.25,0.005,1.6279
2009-12-11,97.715,97.725,97.685,97.705,0.0535,6.25,0.005,1.6262
2009-12-14,97.705,97.715,97.685,97.685,0.054,6.25,0.005,1.6311
2009-12-15,97.685,97.695,97.655,97.685,0.0545,6.25,0.005,1.6267
