time,open,high,low,close,Average True Range,Tick value,Tick size,EURUSD FX
2009-07-13,97.205,97.235,97.195,97.22,0.07125,12.5,0.005,1.3978
2009-07-14,97.185,97.21,97.16,97.195,0.071,12.5,0.005,1.3967
2009-07-15,97.19,97.195,97.15,97.17,0.07025,12.5,0.005,1.4107
2009-07-16,97.165,97.25,97.155,97.225,0.0705,12.5,0.005,1.4148
2009-07-17,97.245,97.245,97.195,97.21,0.06775,12.5,0.005,1.4102
2009-07-20,97.21,97.235,97.145,97.195,0.06975,12.5,0.005,1.4231
2009-07-21,97.225,97.275,97.195,97.245,0.06925,12.5,0.005,1.4226
2009-07-22,97.255,97.265,97.225,97.235,0.0645,12.5,0.005,1.4220
2009-07-23,97.23,97.26,97.18,97.2,0.06375,12.5,0.005,1.4143
2009-07-24,97.185,97.21,97.155,97.19,0.06275,12.5,0.005,1.4202
2009-07-27,97.19,97.205,97.15,97.175,0.062,12.5,0.005,1.4232
2009-07-28,97.175,97.235,97.155,97.225,0.06125,12.5,0.005,1.4167
2009-07-29,97.195,97.245,97.18,97.235,0.0625,12.5,0.005,1.4050
2009-07-30,97.22,97.29,97.2,97.25,0.06075,12.5,0.005,1.4075
2009-07-31,97.29,97.345,97.265,97.325,0.063,12.5,0.005,1.4257
2009-08-03,97.34,97.35,97.215,97.245,0.06775,12.5,0.005,1.4412
2009-08-04,97.225,97.25,97.165,97.18,0.069,12.5,0.005,1.4408
2009-08-05,97.18,97.185,97.085,97.14,0.07175,12.5,0.005,1.4404
2009-08-06,97.12,97.165,97.09,97.14,0.07325,12.5,0.005,1.4345
2009-08-07,97.135,97.145,96.99,97.02,0.0785,12.5,0.005,1.4183
2009-08-10,97.02,97.09,96.985,97.07,0.08175,12.5,0.005,1.4140
2009-08-11,97.085,97.13,97.045,97.12,0.083,12.5,0.005,1.4149
2009-08-12,97.135,97.215,97.12,97.16,0.0855,12.5,0.005,1.4188
2009-08-13,97.21,97.245,97.165,97.215,0.085,12.5,0.005,1.4292
2009-08-14,97.23,97.28,97.205,97.255,0.08625,12.5,0.005,1.4203
2009-08-17,97.275,97.31,97.225,97.245,0.086,12.5,0.005,1.4082
2009-08-18,97.225,97.25,97.2,97.225,0.0845,12.5,0.005,1.4136
2009-08-19,97.225,97.275,97.225,97.245,0.085,12.5,0.005,1.4224
2009-08-20,97.235,97.275,97.22,97.265,0.08375,12.5,0.005,1.4254
2009-08-21,97.275,97.285,97.19,97.22,0.08575,12.5,0.005,1.4326
2009-08-24,97.205,97.275,97.2,97.255,0.08675,12.5,0.005,1.4304
2009-08-25,97.26,97.285,97.245,97.27,0.08475,12.5,0.005,1.4297
2009-08-26,97.275,97.29,97.24,97.28,0.084,12.5,0.005,1.4255
2009-08-27,97.285,97.31,97.27,97.29,0.0815,12.5,0.005,1.4341
2009-08-28,97.31,97.32,97.28,97.31,0.07875,12.5,0.005,1.4303
2009-08-31,97.32,97.355,97.315,97.33,0.07425,12.5,0.005,1.4334
2009-09-01,97.33,97.365,97.305,97.33,0.073,12.5,0.005,1.4224
2009-09-02,97.36,97.365,97.325,97.33,0.07,12.5,0.005,1.4264
2009-09-03,97.33,97.425,97.305,97.4,0.07225,12.5,0.005,1.4252
2009-09-04,97.405,97.44,97.385,97.435,0.06725,12.5,0.005,1.4297
2009-09-07,97.435,97.51,97.42,97.505,0.0665,12.5,0.005,1.4332
2009-09-08,97.495,97.525,97.485,97.515,0.06425,12.5,0.005,1.4478
2009-09-09,97.515,97.56,97.49,97.505,0.063,12.5,0.005,1.4557
2009-09-10,97.505,97.55,97.5,97.535,0.06125,12.5,0.005,1.4582
2009-09-11,97.545,97.545,97.52,97.535,0.05875,12.5,0.005,1.4571
2009-09-14,97.54,97.545,97.505,97.51,0.0565,12.5,0.005,1.4618
2009-09-15,97.515,97.52,97.465,97.485,0.05675,12.5,0.005,1.4658
2009-09-16,97.49,97.515,97.45,97.475,0.0575,12.5,0.005,1.4709
2009-09-17,97.445,97.48,97.42,97.445,0.05775,12.5,0.005,1.4741
2009-09-18,97.46,97.48,97.435,97.445,0.05525,12.5,0.005,1.4712
2009-09-21,97.44,97.47,97.415,97.455,0.05425,12.5,0.005,1.4680
2009-09-22,97.445,97.49,97.44,97.475,0.05475,12.5,0.005,1.4790
2009-09-23,97.48,97.545,97.47,97.505,0.056,12.5,0.005,1.4735
2009-09-24,97.53,97.545,97.515,97.525,0.056,12.5,0.005,1.4666
2009-09-25,97.52,97.53,97.485,97.5,0.05625,12.5,0.005,1.4689
2009-09-28,97.51,97.52,97.485,97.515,0.05575,12.5,0.005,1.4622
2009-09-29,97.505,97.515,97.46,97.49,0.0555,12.5,0.005,1.4587
2009-09-30,97.485,97.485,97.4,97.465,0.058,12.5,0.005,1.4640
2009-10-01,97.455,97.485,97.435,97.47,0.0545,12.5,0.005,1.4545
2009-10-02,97.485,97.5,97.445,97.485,0.0545,12.5,0.005,1.4576
2009-10-05,97.5,97.51,97.475,97.495,0.05175,12.5,0.005,1.4648
2009-10-06,97.495,97.495,97.465,97.475,0.05125,12.5,0.005,1.4722
2009-10-07,97.485,97.485,97.42,97.43,0.051,12.5,0.005,1.4691
2009-10-08,97.43,97.45,97.39,97.415,0.0515,12.5,0.005,1.4794
2009-10-09,97.395,97.395,97.33,97.34,0.0545,12.5,0.005,1.4732
2009-10-12,97.325,97.385,97.315,97.37,0.056,12.5,0.005,1.4773
2009-10-13,97.365,97.395,97.35,97.385,0.0555,12.5,0.005,1.4854
2009-10-14,97.375,97.385,97.35,97.36,0.054,12.5,0.005,1.4925
2009-10-15,97.36,97.37,97.305,97.335,0.05425,12.5,0.005,1.4947
2009-10-16,97.325,97.33,97.295,97.32,0.054,12.5,0.005,1.4905
2009-10-19,97.32,97.335,97.29,97.315,0.0535,12.5,0.005,1.4965
