time,open,high,low,close,MA 50,MA 20,ATR,Tick value,Tick size
2018-12-13T01:00:00Z,384.5,386.25,382.75,384.25,370.66,372.9,5.10725264558869,6.25,0.125
2018-12-14T01:00:00Z,383.75,387.5,383,384.75,371.005,373.7625,5.07689001330926,6.25,0.125
2018-12-17T01:00:00Z,384.25,386,383.25,384,371.32,374.725,4.9605455126438,6.25,0.125
2018-12-18T01:00:00Z,383.75,386.5,383.25,385.5,371.7,375.8875,4.87501823701161,6.25,0.125
2018-12-19T01:00:00Z,385,385.25,381.5,381.75,372.045,376.9125,4.83126732516103,6.25,0.125
2018-12-20T01:00:00Z,381.75,382.75,375,375.25,372.295,377.5875,4.97720395890298,6.25,0.125
2018-12-21T01:00:00Z,375.5,379.5,374.75,378.5,372.48,378.5625,4.96584376095783,6.25,0.125
2018-12-24T01:00:00Z,378.25,379,375.25,377.75,372.56,379.65,4.90505157290994,6.25,0.125
2018-12-26T01:00:00Z,378.25,379.25,372.5,373.25,372.46,380.4875,4.99729899426444,6.25,0.125
2018-12-27T01:00:00Z,373.25,376.5,373.25,374.5,372.445,381.1875,4.90993404455122,6.25,0.125
2018-12-28T01:00:00Z,374.5,377.5,374.5,375.5,372.47,381.3,4.81443734232366,6.25,0.125
2018-12-31T01:00:00Z,375.5,377,372.75,375,372.555,381.1625,4.78621547520747,6.25,0.125
2019-01-02T01:00:00Z,375.25,377.75,374,375.75,372.73,380.85,4.7344047014471,6.25,0.125
2019-01-03T01:00:00Z,375.5,380.5,374.75,379.75,372.935,380.6,4.78518446637474,6.25,0.125
2019-01-04T01:00:00Z,380,383.5,379.75,383,373.19,380.5375,4.73342524305601,6.25,0.125
2019-01-07T01:00:00Z,382.25,384,381.75,382.25,373.47,380.5125,4.60925398090321,6.25,0.125
2019-01-08T01:00:00Z,382.5,384.5,379,380,373.85,380.2375,4.65379128185805,6.25,0.125
2019-01-09T01:00:00Z,380.5,383.5,380.5,382,374.135,380.1375,4.59610171776514,6.25,0.125
2019-01-10T01:00:00Z,381.5,382.75,376,376.25,374.325,379.7125,4.70379663187689,6.25,0.125
2019-01-11T01:00:00Z,377,379.25,376.75,378.25,374.595,379.3625,4.61860680028304,6.25,0.125
2019-01-14T01:00:00Z,378.5,381,377,378.5,374.9,379.075,4.58767646026889,6.25,0.125
2019-01-15T01:00:00Z,379.5,381,371,371.25,374.99,378.4,4.85829263725545,6.25,0.125
2019-01-16T01:00:00Z,372.75,375,372.5,374,375.045,377.9,4.80287800539267,6.25,0.125
2019-01-17T01:00:00Z,374,381.5,373.75,380,375.165,377.625,4.95023410512304,6.25,0.125
2019-01-18T01:00:00Z,379.75,383,377.75,381.75,375.335,377.625,4.96522239986689,6.25,0.125
2019-01-22T01:00:00Z,380.75,382.25,376.75,379,375.47,377.8125,4.99196127987354,6.25,0.125
2019-01-23T01:00:00Z,379.5,381.75,378,378.75,375.575,377.825,4.92986321587987,6.25,0.125
2019-01-24T01:00:00Z,378.75,379.75,375.75,377,375.72,377.7875,4.88337005508587,6.25,0.125
2019-01-25T01:00:00Z,377,380.5,376,380.25,375.9,378.1375,4.86420155233158,6.25,0.125
2019-01-28T01:00:00Z,379.5,381,378,379.75,376.165,378.4,4.770991474715,6.25,0.125
2019-01-29T01:00:00Z,379.75,380.75,376,377.25,376.37,378.4875,4.76994190097925,6.25,0.125
2019-01-30T01:00:00Z,377.75,381.5,377.5,381.25,376.645,378.8,4.74394480593029,6.25,0.125
2019-01-31T01:00:00Z,381,381.5,375.75,376.5,376.88,378.8375,4.79424756563377,6.25,0.125
2019-02-01T01:00:00Z,376.5,380.75,376.5,378.25,377.2,378.7625,4.76703518735208,6.25,0.125
2019-02-04T01:00:00Z,377.75,379.75,376.5,379.25,377.56,378.575,4.69118342798448,6.25,0.125
2019-02-05T01:00:00Z,379.5,381.25,377,380.75,377.94,378.5,4.66912425658526,6.25,0.125
2019-02-06T01:00:00Z,380.5,380.75,379,380,378.36,378.5,4.52316804375599,6.25,0.125
2019-02-07T01:00:00Z,379.75,380.25,376.25,376.5,378.77,378.225,4.49700964156819,6.25,0.125
2019-02-08T01:00:00Z,376.5,381.75,374,374.25,379.125,378.125,4.65965915948978,6.25,0.125
2019-02-11T01:00:00Z,374.5,375,371.75,372.75,379.37,377.85,4.58917620151529,6.25,0.125
2019-02-12T01:00:00Z,373.5,378.75,373,378.25,379.47,377.8375,4.65971739143953,6.25,0.125
2019-02-13T01:00:00Z,377.5,379,376.25,378.75,379.49,378.2125,4.56423152186755,6.25,0.125
2019-02-14T01:00:00Z,378.75,379,374,374.75,379.345,378.25,4.58601994577417,6.25,0.125
2019-02-15T01:00:00Z,374.75,376.5,373,374.75,379.145,377.9875,4.53171894848547,6.25,0.125
2019-02-19T01:00:00Z,374.25,376.25,369,369.75,378.855,377.3875,4.66763300106119,6.25,0.125
2019-02-20T01:00:00Z,371.5,373.5,368.5,370.75,378.615,376.975,4.68425135100813,6.25,0.125
2019-02-21T01:00:00Z,371,378.5,370.5,375.5,378.415,376.8125,4.85003878345773,6.25,0.125
2019-02-22T01:00:00Z,374.75,377.75,374.5,375.25,378.24,376.725,4.77003684428484,6.25,0.125
2019-02-25T01:00:00Z,377.75,378.5,370,370.5,377.955,376.2375,4.9565350020706,6.25,0.125
2019-02-26T01:00:00Z,370.75,371.25,365.5,366.25,377.575,375.5625,4.99620825196707,6.25,0.125
2019-02-27T01:00:00Z,366,368.25,362.5,363.75,377.165,374.8875,5.03389783936871,6.25,0.125
2019-02-28T01:00:00Z,373.5,374.5,370,370.75,376.885,374.3625,5.31970294740028,6.25,0.125
2019-03-01T01:00:00Z,370.75,373.5,366,373,376.665,374.1875,5.42871780003027,6.25,0.125
2019-03-04T01:00:00Z,373.5,377.75,373.5,374.75,376.45,374.0125,5.39478191002875,6.25,0.125
2019-03-05T01:00:00Z,375.5,377.25,373.75,375.75,376.33,373.8375,5.30004281452731,6.25,0.125
2019-03-06T01:00:00Z,376,376.5,370.5,372.5,376.275,373.425,5.33504067380095,6.25,0.125
2019-03-07T01:00:00Z,371.75,372,364.5,365.25,376.01,372.6875,5.4682886401109,6.25,0.125
2019-03-08T01:00:00Z,365.25,367.5,362.25,364.25,375.74,372.075,5.45737420810536,6.25,0.125
2019-03-11T00:00:00Z,366,367.25,361.5,362,375.515,371.4625,5.47200549770009,6.25,0.125
2019-03-12T00:00:00Z,362,367.5,361,365.75,375.34,371.1125,5.52340522281508,6.25,0.125
