time,open,high,low,close,Average True Range,Tick value,Tick size,JPYUSD FX
2014-05-20,11850,11960,11710,11870,232,10000,10,0.009869
2014-05-21,11870,11900,11770,11850,229.5,10000,10,0.009865
2014-05-22,11770,12190,11770,12120,242.5,10000,10,0.009829
2014-05-23,12110,12350,12110,12230,241,10000,10,0.009807
2014-05-26,12260,12420,12240,12390,239.5,10000,10,0.009812
2014-05-27,12410,12560,12390,12420,238,10000,10,0.009807
2014-05-28,12410,12540,12370,12490,232,10000,10,0.009819
2014-05-29,12470,12530,12380,12500,227.5,10000,10,0.009824
2014-05-30,12460,12560,12390,12460,225,10000,10,0.009825
2014-06-02,12470,12790,12460,12750,227.5,10000,10,0.009767
2014-06-03,12760,12910,12720,12840,232,10000,10,0.009755
2014-06-04,12830,12890,12770,12850,210.5,10000,10,0.009733
2014-06-05,12860,12960,12810,12870,207.5,10000,10,0.009764
2014-06-06,12860,12980,12830,12900,206,10000,10,0.009758
2014-06-09,12880,13030,12860,12940,207.5,10000,10,0.009753
2014-06-10,12940,13000,12770,12780,203.5,10000,10,0.00977
2014-06-11,12780,12891,12720,12870,206.55,10000,10,0.009797
2014-06-12,12860,12862,12660,12810,206.05,10000,10,0.009833
2014-06-13,12820,12960,12630,12960,205.55,10000,10,0.009799
2014-06-16,12890,12900,12670,12740,211.55,10000,10,0.00982
2014-06-17,12780,12840,12700,12810,206.05,10000,10,0.00979
2014-06-18,12820,12960,12810,12940,207.05,10000,10,0.009811
2014-06-19,12930,13210,12890,13160,202.05,10000,10,0.00981
2014-06-20,13140,13250,13110,13200,197.05,10000,10,0.009797
2014-06-23,13200,13300,13140,13170,195.55,10000,10,0.00981
2014-06-24,13110,13240,13060,13220,196.05,10000,10,0.009807
2014-06-25,13250,13300,13070,13080,199.05,10000,10,0.009817
2014-06-26,13090,13170,13030,13140,198.55,10000,10,0.009831
2014-06-27,13130,13140,12850,12940,204.55,10000,10,0.009862
2014-06-30,12910,13010,12860,12980,195.55,10000,10,0.009869
2014-07-01,12990,13220,12950,13130,199.55,10000,10,0.00985
2014-07-02,13150,13270,13150,13200,200.55,10000,10,0.009825
2014-07-03,13180,13250,13140,13140,198.55,10000,10,0.009785
2014-07-04,13170,13330,13160,13260,200.55,10000,10,0.009795
2014-07-07,13260,13300,13190,13200,197.55,10000,10,0.009817
2014-07-08,13210,13220,13040,13160,195.05,10000,10,0.009845
2014-07-09,13160,13170,13000,13120,195,10000,10,0.009838
2014-07-10,13120,13170,13030,13070,191.5,10000,10,0.009867
2014-07-11,13040,13050,12820,12990,187.5,10000,10,0.009865
2014-07-14,13020,13150,12940,13140,183.5,10000,10,0.009849
2014-07-15,13170,13270,13150,13220,183,10000,10,0.009834
2014-07-16,13230,13250,13140,13200,181,10000,10,0.009835
2014-07-17,13220,13290,13170,13190,171,10000,10,0.009884
2014-07-18,13180,13230,12920,13030,179.5,10000,10,0.009867
2014-07-22,13030,13220,13030,13150,181,10000,10,0.009856
2014-07-23,13150,13210,13130,13150,176,10000,10,0.009854
2014-07-24,13170,13210,13050,13120,172.5,10000,10,0.009822
2014-07-25,13110,13280,13100,13270,174.5,10000,10,0.00982
2014-07-28,13280,13380,13220,13330,168,10000,10,0.009817
2014-07-29,13340,13460,13290,13460,169,10000,10,0.009792
2014-07-30,13450,13520,13410,13450,161,10000,10,0.00973
2014-07-31,13460,13590,13420,13470,162.5,10000,10,0.009728
2014-08-01,13480,13500,13320,13400,166,10000,10,0.009746
2014-08-04,13370,13380,13220,13280,165.5,10000,10,0.009748
2014-08-05,13290,13330,13120,13160,170.5,10000,10,0.009747
2014-08-06,13180,13210,12930,12960,175.5,10000,10,0.009794
2014-08-07,12970,13060,12830,13010,178.5,10000,10,0.009795
2014-08-08,12960,13040,12480,12580,199.5,10000,10,0.009801
2014-08-11,12580,12990,12520,12950,210.5,10000,10,0.009785
2014-08-12,12920,13060,12920,12970,207,10000,10,0.009779
2014-08-13,12970,13060,12900,13040,208.5,10000,10,0.009765
2014-08-14,13090,13160,13070,13110,209,10000,10,0.009761
2014-08-15,13100,13150,13050,13140,208,10000,10,0.00977
2014-08-18,13160,13210,13030,13150,201.5,10000,10,0.009749
2014-08-19,13180,13300,13170,13250,199.5,10000,10,0.009717
2014-08-20,13280,13310,13230,13240,199.5,10000,10,0.009638
2014-08-21,13240,13420,13220,13370,201.5,10000,10,0.00963
2014-08-22,13350,13460,13320,13370,199.5,10000,10,0.009621
2014-08-25,13370,13450,13270,13440,200.5,10000,10,0.00961
2014-08-26,13430,13440,13320,13350,198,10000,10,0.009609
2014-08-27,13330,13410,13280,13340,199,10000,10,0.009627
2014-08-28,13330,13340,13240,13290,195.5,10000,10,0.009641
2014-08-29,13270,13280,13160,13240,193,10000,10,0.009606
2014-09-01,13260,13310,13190,13300,190,10000,10,0.009583
2014-09-02,13290,13570,13280,13490,194,10000,10,0.009516
2014-09-03,13540,13670,13510,13520,189,10000,10,0.009543
2014-09-04,13540,13620,13480,13480,184.5,10000,10,0.0095
2014-09-05,13490,13620,13430,13510,166,10000,10,0.009516
2014-09-08,13500,13550,13380,13540,151,10000,10,0.009431
2014-09-09,13510,13630,13480,13570,151.5,10000,10,0.009416
2014-09-10,13570,13582,13440,13580,150.6,10000,10,0.009359
2014-09-11,13580,13720,13580,13680,151.6,10000,10,0.009337
2014-09-12,13690,13780,13600,13740,155.6,10000,10,0.009315
2014-09-16,13720,13730,13620,13720,152.6,10000,10,0.009334
2014-09-17,13690,13780,13650,13660,151.6,10000,10,0.009228
2014-09-18,13670,13890,13650,13860,159.6,10000,10,0.009201
2014-09-19,13860,14160,13850,14080,165.1,10000,10,0.00917
2014-09-22,14090,14110,13940,14020,166.6,10000,10,0.009189
2014-09-24,14020,14070,13860,13960,168.1,10000,10,0.009171
2014-09-25,13930,14150,13920,14140,173.6,10000,10,0.009195
2014-09-26,14170,14220,13950,14130,180.6,10000,10,0.00915
2014-09-29,14110,14220,14090,14170,182.1,10000,10,0.009133
2014-09-30,14160,14170,13930,14040,187.6,10000,10,0.00912
2014-10-01,14010,14110,13950,13970,189.6,10000,10,0.009184
2014-10-02,13990,14010,13510,13570,200.1,10000,10,0.009223
2014-10-03,13540,13640,13230,13620,211.6,10000,10,0.009109
2014-10-06,13580,13840,13570,13800,218.1,10000,10,0.009193
2014-10-07,13770,13800,13620,13680,217.6,10000,10,0.009257
2014-10-08,13670,13670,13380,13480,224.1,10000,10,0.009252
2014-10-09,13480,13610,13320,13360,231.1,10000,10,0.009273
2014-10-10,13360,13450,13080,13200,242.5,10000,10,0.009289
2014-10-14,13220,13270,12760,12760,261,10000,10,0.009341
2014-10-15,12770,12960,12660,12930,267,10000,10,0.009441
2014-10-16,12940,12940,12340,12580,291,10000,10,0.009405
2014-10-17,12650,12700,12230,12390,308,10000,10,0.009355
2014-10-20,12420,12980,12410,12980,325.5,10000,10,0.009351
2014-10-21,12950,12970,12620,12640,328,10000,10,0.009346
2014-10-22,12670,13060,12640,13020,340.5,10000,10,0.009333
2014-10-23,13010,13140,12920,13000,341,10000,10,0.009237
2014-10-24,12970,13310,12970,13190,346.5,10000,10,0.009246
2014-10-27,13220,13300,13130,13260,341.5,10000,10,0.009276
2014-10-28,13270,13290,13120,13190,343.5,10000,10,0.009247
2014-10-29,13210,13460,13180,13430,345.5,10000,10,0.009182
2014-10-30,13420,13570,13380,13530,347,10000,10,0.009157
2014-10-31,13560,14420,13430,14350,371.5,10000,10,0.008901
2014-11-04,14380,15060,14380,14570,386.5,10000,10,0.008802
2014-11-05,14730,14880,14520,14850,391,10000,10,0.008721
2014-11-06,14900,14990,14590,14680,402,10000,10,0.008681
2014-11-07,14690,14820,14600,14800,398,10000,10,0.008724
2014-11-10,14750,14780,14530,14650,397,10000,10,0.008706
2014-11-11,14640,15040,14560,14950,402.5,10000,10,0.008635
2014-11-12,15010,15330,14990,15020,396,10000,10,0.00866
2014-11-13,15020,15280,14910,15280,399.5,10000,10,0.008639
2014-11-14,15330,15380,15160,15310,380.5,10000,10,0.008598
2014-11-17,15380,15380,14750,14900,388.5,10000,10,0.008577
2014-11-18,14900,15230,14880,15220,376.5,10000,10,0.008558
2014-11-19,15220,15340,15080,15230,371.5,10000,10,0.008476
2014-11-20,15240,15280,15130,15180,358,10000,10,0.008458
2014-11-21,15210,15260,14960,15240,362,10000,10,0.008488
2014-11-25,15240,15410,15170,15290,357,10000,10,0.008477
2014-11-26,15300,15340,15190,15240,356,10000,10,0.008493
2014-11-27,15240,15270,15070,15110,357.5,10000,10,0.008495
2014-11-28,15090,15340,15040,15310,358.5,10000,10,0.00843
2014-12-01,15320,15520,15250,15430,362.5,10000,10,0.008447
2014-12-02,15390,15560,15260,15550,328,10000,10,0.008387
2014-12-03,15610,15750,15550,15610,302.5,10000,10,0.008348
2014-12-04,15600,15780,15580,15740,294.5,10000,10,0.008348
2014-12-05,15750,15810,15590,15800,285.5,10000,10,0.008233
2014-12-08,15810,15970,15720,15830,287,10000,10,0.008286
2014-12-09,15840,15840,15630,15650,284,10000,10,0.008354
2014-12-10,15610,15620,15160,15330,284.5,10000,10,0.008487
2014-12-11,15330,15370,14866,15060,290.7,10000,10,0.008428
2014-12-12,15080,15380,15010,15220,290.7,10000,10,0.008417
2014-12-15,15190,15230,14860,14860,298.2,10000,10,0.008485
2014-12-16,14820,14970,14450,14570,292.7,10000,10,0.008591
2014-12-17,14610,14730,14280,14650,297.7,10000,10,0.008428
2014-12-18,14680,15120,14650,15100,308.2,10000,10,0.008414
2014-12-19,15170,15510,15170,15510,321.2,10000,10,0.00837
2014-12-22,15510,15590,15400,15440,315.7,10000,10,0.00833
2014-12-24,15430,15720,15430,15630,318.2,10000,10,0.008301
2014-12-25,15650,15690,15580,15590,316.2,10000,10,0.008327
2014-12-26,15600,15700,15540,15700,314.2,10000,10,0.008308
2014-12-29,15730,15780,15360,15560,320.2,10000,10,0.00829
2014-12-30,15560,15600,15190,15290,327.2,10000,10,0.00837
2015-01-05,15200,15390,15040,15220,329.7,10000,10,0.008359
2015-01-06,15180,15190,14690,14740,346.2,10000,10,0.008448
2015-01-07,14710,14850,14390,14800,359.2,10000,10,0.008386
2015-01-08,14820,15090,14760,15090,364.7,10000,10,0.008357
2015-01-09,15130,15230,14970,15050,365.2,10000,10,0.008436
2015-01-13,15040,15120,14660,14930,377.7,10000,10,0.00848
2015-01-14,14860,15060,14600,14600,376.2,10000,10,0.008522
2015-01-15,14550,15000,14370,15000,382.5,10000,10,0.008606
2015-01-16,15000,15040,14380,14640,397,10000,10,0.008503
2015-01-19,14630,14890,14530,14880,396.5,10000,10,0.008506
2015-01-20,14830,15230,14810,15230,391.5,10000,10,0.008418
2015-01-21,15280,15320,15020,15050,384,10000,10,0.008478
2015-01-22,15050,15200,14920,15200,374.5,10000,10,0.00844
2015-01-23,15180,15390,14980,15350,374.5,10000,10,0.00849
2015-01-26,15370,15430,15120,15280,380.5,10000,10,0.008442
2015-01-27,15330,15610,15300,15540,382.5,10000,10,0.008484
2015-01-28,15520,15690,15320,15690,395.5,10000,10,0.008508
2015-01-29,15690,15720,15410,15450,403,10000,10,0.008454
