time,open,high,low,close,Average True Range,Tick value,Tick size,CADUSD FX
2017-05-29,98.775,98.79,98.775,98.785,0.03375,12.5,0.005,0.7433
2017-05-30,98.78,98.795,98.775,98.785,0.0335,12.5,0.005,0.743
2017-05-31,98.78,98.8,98.77,98.795,0.03125,12.5,0.005,0.7407
2017-06-01,98.79,98.8,98.765,98.795,0.03075,12.5,0.005,0.7399
2017-06-02,98.8,98.83,98.795,98.8,0.03,12.5,0.005,0.7417
2017-06-05,98.795,98.815,98.785,98.79,0.0295,12.5,0.005,0.7422
2017-06-06,98.795,98.81,98.79,98.795,0.029,12.5,0.005,0.7432
2017-06-07,98.79,98.81,98.79,98.8,0.029,12.5,0.005,0.7403
2017-06-08,98.795,98.81,98.785,98.795,0.029,12.5,0.005,0.7403
2017-06-09,98.79,98.795,98.755,98.775,0.02925,12.5,0.005,0.7426
2017-06-12,98.775,98.775,98.635,98.655,0.03425,12.5,0.005,0.7505
2017-06-13,98.625,98.63,98.545,98.565,0.0385,12.5,0.005,0.7552
2017-06-14,98.565,98.62,98.555,98.565,0.0405,12.5,0.005,0.7549
2017-06-15,98.565,98.57,98.51,98.54,0.04175,12.5,0.005,0.7537
2017-06-16,98.53,98.565,98.505,98.54,0.0435,12.5,0.005,0.7568
2017-06-19,98.545,98.565,98.485,98.495,0.04625,12.5,0.005,0.7565
2017-06-20,98.505,98.53,98.48,98.52,0.047,12.5,0.005,0.7537
2017-06-21,98.525,98.535,98.5,98.535,0.04625,12.5,0.005,0.75
2017-06-22,98.53,98.535,98.47,98.51,0.048,12.5,0.005,0.7556
2017-06-23,98.505,98.57,98.495,98.555,0.0505,12.5,0.005,0.7538
2017-06-26,98.55,98.59,98.53,98.555,0.05275,12.5,0.005,0.755
2017-06-27,98.545,98.545,98.495,98.51,0.05475,12.5,0.005,0.7577
2017-06-28,98.49,98.49,98.42,98.425,0.05775,12.5,0.005,0.7669
2017-06-29,98.425,98.425,98.38,98.4,0.05825,12.5,0.005,0.7689
2017-06-30,98.4,98.415,98.35,98.37,0.05975,12.5,0.005,0.7714
2017-07-04,98.35,98.35,98.32,98.33,0.06075,12.5,0.005,0.773
2017-07-05,98.33,98.36,98.32,98.325,0.06175,12.5,0.005,0.7718
2017-07-06,98.315,98.335,98.305,98.33,0.06225,12.5,0.005,0.7705
2017-07-07,98.325,98.335,98.285,98.305,0.0635,12.5,0.005,0.7766
2017-07-10,98.335,98.345,98.31,98.32,0.0635,12.5,0.005,0.7758
2017-07-11,98.315,98.355,98.315,98.355,0.0585,12.5,0.005,0.7743
2017-07-12,98.355,98.38,98.27,98.28,0.0585,12.5,0.005,0.7843
2017-07-13,98.275,98.28,98.23,98.265,0.05775,12.5,0.005,0.786
2017-07-14,98.28,98.31,98.275,98.295,0.057,12.5,0.005,0.7908
2017-07-17,98.3,98.31,98.29,98.3,0.055,12.5,0.005,0.7877
2017-07-18,98.295,98.305,98.28,98.295,0.05225,12.5,0.005,0.7919
2017-07-19,98.295,98.295,98.265,98.275,0.05125,12.5,0.005,0.7933
2017-07-20,98.26,98.3,98.26,98.275,0.0515,12.5,0.005,0.7942
2017-07-21,98.28,98.3,98.26,98.27,0.05025,12.5,0.005,0.7976
2017-07-24,98.27,98.27,98.23,98.245,0.0485,12.5,0.005,0.7993
2017-07-25,98.23,98.23,98.2,98.2,0.04775,12.5,0.005,0.7995
2017-07-26,98.205,98.23,98.19,98.225,0.04675,12.5,0.005,0.8035
2017-07-27,98.21,98.22,98.205,98.215,0.04325,12.5,0.005,0.7966
2017-07-28,98.205,98.215,98.15,98.175,0.04425,12.5,0.005,0.8043
2017-07-31,98.175,98.205,98.165,98.19,0.043,12.5,0.005,0.8014
2017-08-01,98.195,98.24,98.19,98.23,0.043,12.5,0.005,0.7975
2017-08-02,98.225,98.255,98.22,98.23,0.04275,12.5,0.005,0.7955
2017-08-03,98.22,98.235,98.21,98.225,0.0425,12.5,0.005,0.7945
2017-08-04,98.22,98.24,98.2,98.235,0.042,12.5,0.005,0.7905
2017-08-08,98.235,98.255,98.215,98.22,0.042,12.5,0.005,0.7895
2017-08-09,98.225,98.255,98.225,98.245,0.04175,12.5,0.005,0.7875
2017-08-10,98.245,98.265,98.24,98.255,0.0375,12.5,0.005,0.7847
2017-08-11,98.26,98.28,98.25,98.27,0.0365,12.5,0.005,0.7887
2017-08-14,98.265,98.265,98.25,98.265,0.03525,12.5,0.005,0.786
2017-08-15,98.255,98.26,98.24,98.255,0.0355,12.5,0.005,0.7839
2017-08-16,98.25,98.27,98.245,98.265,0.0355,12.5,0.005,0.7925
2017-08-17,98.265,98.27,98.25,98.265,0.035,12.5,0.005,0.7885
2017-08-18,98.27,98.275,98.25,98.265,0.03425,12.5,0.005,0.7946
2017-08-21,98.265,98.275,98.26,98.27,0.033,12.5,0.005,0.7963
2017-08-22,98.265,98.265,98.245,98.255,0.03225,12.5,0.005,0.7962
2017-08-23,98.25,98.275,98.25,98.27,0.03125,12.5,0.005,0.7966
2017-08-24,98.265,98.265,98.25,98.255,0.03025,12.5,0.005,0.7987
2017-08-25,98.255,98.255,98.24,98.25,0.03,12.5,0.005,0.8012
2017-08-28,98.25,98.25,98.24,98.245,0.02725,12.5,0.005,0.7995
2017-08-29,98.255,98.27,98.255,98.26,0.0265,12.5,0.005,0.7992
