time,open,high,low,close,Average True Range,Tick value,Tick size,EURUSD FX
2010-03-30,6110.5,6159,6087,6103.5,69.45,12.5,0.5,1.3414
2010-03-31,6103,6119.5,6060,6086.5,68.375,12.5,0.5,1.351
2010-04-01,6139,6194,6128.5,6174.5,70.725,12.5,0.5,1.3589
2010-04-06,6205,6218.5,6165.5,6198,68.475,12.5,0.5,1.3399
2010-04-07,6209,6209.5,6145,6178.5,69.3,12.5,0.5,1.3344
2010-04-08,6155,6168,6088,6126,70.275,12.5,0.5,1.3361
2010-04-09,6157.5,6209,6157.5,6203.5,70.325,12.5,0.5,1.35
2010-04-12,6236,6248,6174,6206,71.6,12.5,0.5,1.3592
2010-04-13,6185,6208,6150,6186,71.425,12.5,0.5,1.3614
2010-04-14,6217,6258,6201.5,6234.5,72.225,12.5,0.5,1.3653
2010-04-15,6236,6261.5,6201,6240.5,71.125,12.5,0.5,1.3573
2010-04-16,6210,6255,6113,6134,75.875,12.5,0.5,1.3503
2010-04-19,6110,6146,6084.5,6113,76.7,12.5,0.5,1.3489
2010-04-20,6139,6219,6123,6211,77.55,12.5,0.5,1.3435
2010-04-21,6233.5,6238.5,6168,6181,76.275,12.5,0.5,1.339
2010-04-22,6179,6238,6090.5,6130,80.3,12.5,0.5,1.3295
2010-04-23,6154,6239,6119.5,6207,82.05,12.5,0.5,1.3384
2010-04-26,6233.5,6292,6233,6288,81.2,12.5,0.5,1.3383
2010-04-27,6274.5,6284,6056,6129,90.95,12.5,0.5,1.3175
2010-04-28,6094,6114,5977.5,6035,95.5,12.5,0.5,1.3221
2010-04-29,6029,6116.5,6027,6098.5,96.375,12.5,0.5,1.3233
2010-04-30,6090,6163,6034,6075.5,99.85,12.5,0.5,1.3294
2010-05-03,6057.5,6152.5,6038.5,6117,100.175,12.5,0.5,1.3195
2010-05-04,6127,6151,5942.5,5961,107.95,12.5,0.5,1.2987
2010-05-05,5968.5,5984,5886,5917.5,109.625,12.5,0.5,1.2814
2010-05-06,5908,5963,5502,5877.5,128.15,12.5,0.5,1.262
2010-05-07,5694,5853.5,5604,5667,137.675,12.5,0.5,1.2755
2010-05-10,5797,5965,5795,5945.5,148.875,12.5,0.5,1.2787
2010-05-11,5888,6041,5857,5987.5,155.175,12.5,0.5,1.2662
