time,open,high,low,close,Average True Range,Tick value,Tick size,AUDUSD FX
2014-01-02,97.157,97.177,97.117,97.137,0.0675,15,0.005,0.8911
2014-01-03,97.137,97.157,97.117,97.137,0.067,15,0.005,0.8945
2014-01-06,97.137,97.167,97.087,97.117,0.0665,15,0.005,0.8967
2014-01-07,97.107,97.157,97.107,97.157,0.0655,15,0.005,0.8927
2014-01-08,97.157,97.177,97.147,97.167,0.064,15,0.005,0.8901
2014-01-09,97.157,97.167,97.077,97.107,0.0635,15,0.005,0.89
2014-01-10,97.107,97.137,97.077,97.137,0.06475,15,0.005,0.8995
2014-01-13,97.127,97.197,97.117,97.167,0.065,15,0.005,0.9054
2014-01-14,97.167,97.217,97.147,97.197,0.0645,15,0.005,0.8967
2014-01-15,97.187,97.187,97.137,97.167,0.06475,15,0.005,0.8916
2014-01-16,97.167,97.277,97.147,97.257,0.065,15,0.005,0.8821
2014-01-17,97.247,97.327,97.237,97.327,0.0665,15,0.005,0.8781
2014-01-20,97.327,97.357,97.307,97.337,0.066,15,0.005,0.8811
2014-01-21,97.337,97.337,97.287,97.297,0.063,15,0.005,0.8806
2014-01-22,97.297,97.317,97.157,97.167,0.068,15,0.005,0.8852
2014-01-23,97.167,97.207,97.137,97.197,0.0695,15,0.005,0.8768
2014-01-24,97.197,97.347,97.187,97.347,0.0755,15,0.005,0.8683
2014-01-27,97.347,97.437,97.327,97.387,0.078,15,0.005,0.8739
2014-01-28,97.387,97.397,97.307,97.357,0.0795,15,0.005,0.8779
2014-01-29,97.347,97.357,97.257,97.267,0.0825,15,0.005,0.8739
2014-01-30,97.257,97.377,97.257,97.347,0.0845,15,0.005,0.8794
2014-01-31,97.337,97.357,97.287,97.337,0.086,15,0.005,0.8756
2014-02-03,97.337,97.377,97.297,97.327,0.086,15,0.005,0.8753
2014-02-04,97.327,97.397,97.277,97.287,0.0895,15,0.005,0.8925
2014-02-05,97.297,97.307,97.217,97.267,0.0925,15,0.005,0.891
2014-02-06,97.257,97.287,97.187,97.217,0.093,15,0.005,0.8959
2014-02-07,97.227,97.227,97.127,97.167,0.095,15,0.005,0.8959
2014-02-10,97.157,97.227,97.127,97.177,0.096,15,0.005,0.8949
2014-02-11,97.177,97.197,97.127,97.137,0.096,15,0.005,0.9038
2014-02-12,97.127,97.157,97.097,97.117,0.096,15,0.005,0.9027
2014-02-13,97.107,97.197,97.097,97.187,0.0945,15,0.005,0.8979
2014-02-14,97.177,97.227,97.167,97.217,0.093,15,0.005,0.9034
2014-02-17,97.217,97.227,97.167,97.177,0.0935,15,0.005,0.9032
2014-02-18,97.177,97.187,97.147,97.157,0.093,15,0.005,0.9027
